Report Name : Responce  Time,,,
Name : Application performance Response Time,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,
Monitor,Type,RTT (ms),Event Time
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,2231,"14 Aug, 2024 11:59:25 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2634,"14 Aug, 2024 11:59:25 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,116,"14 Aug, 2024 11:58:25 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,229,"14 Aug, 2024 11:58:05 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,788,"14 Aug, 2024 11:58:05 PM"
ICCC-APPLICATION ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,564,"14 Aug, 2024 11:58:05 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,129,"14 Aug, 2024 11:57:15 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,273,"14 Aug, 2024 11:57:15 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,43,"14 Aug, 2024 11:57:04 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,324,"14 Aug, 2024 11:57:04 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,341,"14 Aug, 2024 11:56:55 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,35,"14 Aug, 2024 11:55:55 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,3465,"14 Aug, 2024 11:54:26 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,2011,"14 Aug, 2024 11:54:25 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,127,"14 Aug, 2024 11:53:25 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,762,"14 Aug, 2024 11:53:05 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,277,"14 Aug, 2024 11:53:05 PM"
ICCC-APPLICATION ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,819,"14 Aug, 2024 11:53:05 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,176,"14 Aug, 2024 11:52:15 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,321,"14 Aug, 2024 11:52:15 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,29,"14 Aug, 2024 11:52:05 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,327,"14 Aug, 2024 11:52:05 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,179,"14 Aug, 2024 11:51:54 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,44,"14 Aug, 2024 11:50:55 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2977,"14 Aug, 2024 11:49:26 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,1212,"14 Aug, 2024 11:49:25 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,122,"14 Aug, 2024 11:48:25 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,350,"14 Aug, 2024 11:48:05 PM"
ICCC-APPLICATION ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,562,"14 Aug, 2024 11:48:05 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,1049,"14 Aug, 2024 11:48:05 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,171,"14 Aug, 2024 11:47:15 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,157,"14 Aug, 2024 11:47:15 PM"
