Report Name : Responce  Time,,,
Name : Application performance Response Time,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,
Monitor,Type,RTT (ms),Event Time
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,154,"14 Oct, 2024 11:59:56 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,22,"14 Oct, 2024 11:59:46 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,350,"14 Oct, 2024 11:59:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,460,"14 Oct, 2024 11:59:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,165,"14 Oct, 2024 11:59:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,23,"14 Oct, 2024 11:59:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2706,"14 Oct, 2024 11:56:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,721,"14 Oct, 2024 11:56:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,136,"14 Oct, 2024 11:55:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,127,"14 Oct, 2024 11:55:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,211,"14 Oct, 2024 11:55:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,792,"14 Oct, 2024 11:55:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,165,"14 Oct, 2024 11:54:56 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,46,"14 Oct, 2024 11:54:46 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,294,"14 Oct, 2024 11:54:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,222,"14 Oct, 2024 11:54:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,179,"14 Oct, 2024 11:54:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,29,"14 Oct, 2024 11:54:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2419,"14 Oct, 2024 11:51:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,844,"14 Oct, 2024 11:51:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,102,"14 Oct, 2024 11:50:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,124,"14 Oct, 2024 11:50:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,220,"14 Oct, 2024 11:50:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,570,"14 Oct, 2024 11:50:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,200,"14 Oct, 2024 11:49:56 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,31,"14 Oct, 2024 11:49:46 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,388,"14 Oct, 2024 11:49:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,349,"14 Oct, 2024 11:49:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,223,"14 Oct, 2024 11:49:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,19,"14 Oct, 2024 11:49:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2764,"14 Oct, 2024 11:46:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,708,"14 Oct, 2024 11:46:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,103,"14 Oct, 2024 11:45:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,119,"14 Oct, 2024 11:45:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,229,"14 Oct, 2024 11:45:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,706,"14 Oct, 2024 11:45:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,402,"14 Oct, 2024 11:44:56 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,365,"14 Oct, 2024 11:44:46 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,22,"14 Oct, 2024 11:44:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,304,"14 Oct, 2024 11:44:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,251,"14 Oct, 2024 11:44:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,19,"14 Oct, 2024 11:44:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2716,"14 Oct, 2024 11:41:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,898,"14 Oct, 2024 11:41:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,122,"14 Oct, 2024 11:40:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,159,"14 Oct, 2024 11:40:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,369,"14 Oct, 2024 11:40:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,889,"14 Oct, 2024 11:40:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,166,"14 Oct, 2024 11:39:56 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,38,"14 Oct, 2024 11:39:46 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,423,"14 Oct, 2024 11:39:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,216,"14 Oct, 2024 11:39:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,239,"14 Oct, 2024 11:39:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,10,"14 Oct, 2024 11:39:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,3016,"14 Oct, 2024 11:36:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,807,"14 Oct, 2024 11:36:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,107,"14 Oct, 2024 11:35:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,106,"14 Oct, 2024 11:35:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,208,"14 Oct, 2024 11:35:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,619,"14 Oct, 2024 11:35:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,173,"14 Oct, 2024 11:34:56 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,168,"14 Oct, 2024 11:34:46 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,31,"14 Oct, 2024 11:34:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,382,"14 Oct, 2024 11:34:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,386,"14 Oct, 2024 11:34:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,13,"14 Oct, 2024 11:34:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2466,"14 Oct, 2024 11:31:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,1099,"14 Oct, 2024 11:31:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,112,"14 Oct, 2024 11:30:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,131,"14 Oct, 2024 11:30:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,181,"14 Oct, 2024 11:30:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,613,"14 Oct, 2024 11:30:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,199,"14 Oct, 2024 11:29:56 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,46,"14 Oct, 2024 11:29:46 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,288,"14 Oct, 2024 11:29:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,319,"14 Oct, 2024 11:29:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,213,"14 Oct, 2024 11:29:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,11,"14 Oct, 2024 11:29:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2427,"14 Oct, 2024 11:26:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,729,"14 Oct, 2024 11:26:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,143,"14 Oct, 2024 11:25:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,130,"14 Oct, 2024 11:25:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,230,"14 Oct, 2024 11:25:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,731,"14 Oct, 2024 11:25:06 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,307,"14 Oct, 2024 11:24:56 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,404,"14 Oct, 2024 11:24:46 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,38,"14 Oct, 2024 11:24:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,181,"14 Oct, 2024 11:24:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,248,"14 Oct, 2024 11:24:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,15,"14 Oct, 2024 11:24:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2784,"14 Oct, 2024 11:21:47 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,681,"14 Oct, 2024 11:21:36 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,163,"14 Oct, 2024 11:20:56 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,120,"14 Oct, 2024 11:20:36 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,291,"14 Oct, 2024 11:20:26 PM"
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudioo/Login - 172.16.1.15 ),HTTP/HTTPS URL,1854,"14 Oct, 2024 11:20:07 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,215,"14 Oct, 2024 11:19:56 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,32,"14 Oct, 2024 11:19:46 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,328,"14 Oct, 2024 11:19:46 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,366,"14 Oct, 2024 11:19:36 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,263,"14 Oct, 2024 11:19:26 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,15,"14 Oct, 2024 11:19:06 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2886,"14 Oct, 2024 11:16:47 PM"
