Report Name : WORK STATION,,,,,,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.94,,,
Down (%),,,,,0.06,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-ICCC-OPERATORPC2 ( 172.16.5.12 ),Ping,99.99,29 days 23 hours 46 minutes 57 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC13 ( 172.16.5.21 - 172.16.5.23 ),Ping,99.64,29 days 21 hours 21 minutes 27 seconds ,0.36,,0 days 2 hours 35 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC1 ( 172.16.5.11 ),Ping,100,29 days 23 hours 56 minutes 27 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC5 ( 172.16.5.15 ),Ping,100,29 days 23 hours 50 minutes 46 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION1 ( 172.25.0.11 ),Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC25 ( OperatorPC25.bscl.itms.local - 172.16.5.35 ),Ping,100,29 days 23 hours 56 minutes 58 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC17 ( 172.16.5.27 ),Ping,100,29 days 23 hours 52 minutes 16 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC33 ( 172.16.5.43 ),Ping,100,29 days 23 hours 51 minutes 16 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC31 ( 172.16.5.31 ),Ping,100,29 days 23 hours 52 minutes 26 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC30 ( 172.16.5.40 ),Ping,99.87,29 days 22 hours 59 minutes 49 seconds ,0.13,,0 days 0 hours 56 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC10 ( 172.16.5.20 ),Ping,100,29 days 23 hours 52 minutes 26 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION4 ( 172.25.0.21 ),Ping,100,29 days 23 hours 51 minutes 46 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC4 ( 172.16.5.14 ),Ping,99.95,29 days 23 hours 29 minutes 10 seconds ,0.05,,0 days 0 hours 21 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC24 ( 172.16.5.34 ),Ping,100,29 days 23 hours 55 minutes 17 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-SIEM-PC ( 172.16.5.39 ),Ping,100,29 days 23 hours 51 minutes 16 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OperatorPC26 ( 172.16.5.36 ),Ping,99.99,29 days 23 hours 52 minutes 7 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
