Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,81.66,,,
Maintenance (%),,,,,13.31,,,
Down (%),,,,,5.03,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,99.6,30 days 20 hours 56 minutes 59 seconds ,0.4,,0 days 2 hours 58 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,99.69,30 days 21 hours 36 minutes 40 seconds ,0.31,,0 days 2 hours 18 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,98.24,30 days 10 hours 54 minutes 19 seconds ,1.76,,0 days 13 hours 5 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,99.35,30 days 19 hours 5 minutes 24 seconds ,0.65,,0 days 4 hours 50 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,99.63,30 days 21 hours 14 minutes 49 seconds ,0.37,,0 days 2 hours 45 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,69.32,21 days 11 hours 44 minutes 26 seconds ,30.68,,9 days 12 hours 15 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,98.12,30 days 9 hours 53 minutes 30 seconds ,1.88,,0 days 13 hours 59 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,94.71,29 days 8 hours 38 minutes 32 seconds ,5.29,,1 days 15 hours 21 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,94.76,29 days 9 hours 0 minutes 51 seconds ,5.24,,1 days 14 hours 59 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,99.37,30 days 19 hours 18 minutes 45 seconds ,0.63,,0 days 4 hours 41 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,94.62,29 days 7 hours 53 minutes 40 seconds ,5.38,,1 days 16 hours 1 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,7.24,,2 days 5 hours 51 minutes 56 seconds ,92.76,28 days 18 hours 8 minutes 3 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,58.13,18 days 0 hours 29 minutes 14 seconds ,41.87,,12 days 23 hours 30 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,99.92,30 days 23 hours 24 minutes 16 seconds ,0.08,,0 days 0 hours 35 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,100,30 days 23 hours 55 minutes 2 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,97.97,30 days 8 hours 53 minutes 48 seconds ,2.03,,0 days 15 hours 6 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,99.43,30 days 19 hours 45 minutes 32 seconds ,0.57,,0 days 4 hours 14 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,98.26,30 days 10 hours 58 minutes 53 seconds ,1.74,,0 days 12 hours 56 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,98.85,30 days 15 hours 26 minutes 38 seconds ,1.15,,0 days 8 hours 33 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,96.58,29 days 22 hours 33 minutes 18 seconds ,3.42,,1 days 1 hours 26 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
