Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,64.74,20 days 1 hours 39 minutes 56 seconds ,35.26,,10 days 22 hours 20 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,98.69,30 days 14 hours 15 minutes 12 seconds ,1.31,,0 days 9 hours 44 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 5 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,77.34,23 days 23 hours 20 minutes 44 seconds ,22.66,,7 days 0 hours 34 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,7.23,,2 days 5 hours 47 minutes 7 seconds ,92.77,28 days 18 hours 7 minutes 55 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,99.38,30 days 19 hours 18 minutes 48 seconds ,0.62,,0 days 4 hours 36 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,99.45,30 days 19 hours 54 minutes 28 seconds ,0.55,,0 days 4 hours 5 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,99.59,30 days 20 hours 52 minutes 2 seconds ,0.41,,0 days 3 hours 3 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,98.38,30 days 11 hours 56 minutes 49 seconds ,1.62,,0 days 12 hours 3 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,91.45,28 days 8 hours 16 minutes 30 seconds ,8.55,,2 days 15 hours 36 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,98.14,30 days 10 hours 2 minutes 26 seconds ,1.86,,0 days 13 hours 50 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,96.59,29 days 22 hours 37 minutes 46 seconds ,3.41,,1 days 1 hours 22 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,98.17,30 days 10 hours 23 minutes 4 seconds ,1.83,,0 days 13 hours 36 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,98.17,30 days 10 hours 23 minutes 4 seconds ,1.83,,0 days 13 hours 36 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,99.35,30 days 19 hours 4 minutes 54 seconds ,0.65,,0 days 4 hours 50 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
