Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,72.83,,,
Maintenance (%),,,,,22.28,,,
Down (%),,,,,4.89,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,94.67,29 days 8 hours 20 minutes 40 seconds ,5.33,,1 days 15 hours 39 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,99.04,30 days 16 hours 51 minutes 27 seconds ,0.96,,0 days 7 hours 8 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,14.32,4 days 10 hours 32 minutes 27 seconds ,85.68,,26 days 13 hours 27 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,98.49,30 days 12 hours 45 minutes 55 seconds ,1.51,,0 days 11 hours 14 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.38,30 days 19 hours 23 minutes 13 seconds ,0.62,,0 days 4 hours 36 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,99.96,30 days 23 hours 42 minutes 8 seconds ,0.04,,0 days 0 hours 17 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,98.36,30 days 11 hours 47 minutes 53 seconds ,1.64,,0 days 12 hours 12 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,82.51,25 days 13 hours 52 minutes 27 seconds ,17.49,,5 days 10 hours 7 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX5 ( 172.18.1.168 ),SNMP Device,79.72,24 days 17 hours 7 minutes 0 seconds ,20.28,,6 days 6 hours 52 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CO-FIX2 ( 172.18.1.234 ),SNMP Device,58.25,18 days 1 hours 22 minutes 47 seconds ,41.75,,12 days 22 hours 37 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PTZ1 ( 172.18.0.101 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-CIMS-FIX3 ( 172.18.1.223 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-FIX2 ( 172.18.1.146 ),SNMP Device,99.69,30 days 21 hours 41 minutes 36 seconds ,0.31,,0 days 2 hours 18 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX4 ( 172.18.1.167 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-TBC-FIX4 ( 172.18.1.210 ),SNMP Device,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX1 ( 172.18.1.169 ),SNMP Device,99.93,30 days 23 hours 28 minutes 44 seconds ,0.07,,0 days 0 hours 31 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX4 ( 172.18.1.187 ),SNMP Device,4.29,1 days 7 hours 55 minutes 3 seconds ,2.97,,0 days 22 hours 5 minutes 48 seconds ,92.74,28 days 17 hours 59 minutes 7 seconds 
BSCL-CO-FIX3 ( 172.18.1.235 ),SNMP Device,58.25,18 days 1 hours 22 minutes 47 seconds ,41.75,,12 days 22 hours 37 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-FIX2 ( 172.18.1.196 ),SNMP Device,98.22,30 days 10 hours 45 minutes 24 seconds ,1.78,,0 days 13 hours 14 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PTZ1 ( 172.18.0.113 ),SNMP Device,42.76,13 days 6 hours 8 minutes 3 seconds ,57.24,,17 days 17 hours 51 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-FIX1 ( 172.18.1.120 ),SNMP Device,98.87,30 days 15 hours 35 minutes 33 seconds ,1.13,,0 days 8 hours 24 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-FIX1 ( 172.18.1.241 ),SNMP Device,96.58,29 days 22 hours 33 minutes 18 seconds ,3.42,,1 days 1 hours 26 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX3 ( 172.18.1.186 ),SNMP Device,4.14,1 days 6 hours 48 minutes 6 seconds ,3.1,,0 days 23 hours 3 minutes 50 seconds ,92.76,28 days 18 hours 8 minutes 3 seconds 
BSCL-FRC-FIX1 ( 172.18.1.173 ),SNMP Device,94.67,29 days 8 hours 20 minutes 40 seconds ,5.33,,1 days 15 hours 39 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-FIX1 ( 172.18.1.181 ),SNMP Device,98.28,30 days 11 hours 12 minutes 11 seconds ,1.72,,0 days 12 hours 47 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-PTZ1 ( 172.18.0.125 ),SNMP Device,97.99,30 days 9 hours 2 minutes 43 seconds ,2.01,,0 days 14 hours 57 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CIMS-FIX2 ( 172.18.1.222 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-VVC-FIX2 ( 172.18.1.185 ),SNMP Device,5.2,1 days 14 hours 41 minutes 17 seconds ,2.03,,0 days 15 hours 6 minutes 12 seconds ,92.77,28 days 18 hours 12 minutes 31 seconds 
BSCL-MMT-FIX3 ( 172.18.1.190 ),SNMP Device,97.91,30 days 8 hours 27 minutes 1 seconds ,2.09,,0 days 15 hours 32 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-FIX2 ( 172.18.1.135 ),SNMP Device,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-FIX2 ( 172.18.1.128 ),SNMP Device,99.64,30 days 21 hours 19 minutes 17 seconds ,0.36,,0 days 2 hours 40 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-FIX2 ( 172.18.1.189 ),SNMP Device,97.92,30 days 8 hours 31 minutes 28 seconds ,2.08,,0 days 15 hours 28 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-FIX2 ( 172.18.1.208 ),SNMP Device,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DDG-FIX2 ( 172.18.1.216 ),SNMP Device,99.88,30 days 23 hours 6 minutes 25 seconds ,0.12,,0 days 0 hours 53 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX2 ( 172.18.1.192 ),SNMP Device,98.15,30 days 10 hours 14 minutes 9 seconds ,1.85,,0 days 13 hours 45 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PTZ1 ( 172.18.0.115 ),SNMP Device,94.71,29 days 8 hours 38 minutes 32 seconds ,5.29,,1 days 15 hours 21 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-36M-FIX1 ( 172.18.1.231 ),SNMP Device,89.68,27 days 19 hours 13 minutes 8 seconds ,10.32,,3 days 4 hours 46 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RLY-FIX3 ( 172.18.1.246 ),SNMP Device,23.74,7 days 8 hours 37 minutes 32 seconds ,0.06,,0 days 0 hours 26 minutes 47 seconds ,76.2,23 days 14 hours 55 minutes 40 seconds 
BSCL-ICCC-FF_WarRoom ( 172.16.5.115 ),SNMP Device,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX3 ( 172.18.1.140 ),SNMP Device,82.52,25 days 13 hours 56 minutes 55 seconds ,17.48,,5 days 10 hours 3 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
