Report Name : LPU,,,,,,,,
Name : LPU,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,80.44,,,
Maintenance (%),,,,,13.62,,,
Down (%),,,,,5.94,,,
Name : LPU,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-RLVD-LPU1 ( 172.22.1.141 ),Ping,98.22,30 days 10 hours 40 minutes 52 seconds ,1.78,,0 days 13 hours 14 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-RLVD-LPU1 ( 172.22.1.137 ),Ping,97.88,30 days 8 hours 13 minutes 37 seconds ,2.12,,0 days 15 hours 46 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR-LPU1 ( 172.22.1.152 ),Ping,98.4,30 days 12 hours 1 minutes 22 seconds ,1.6,,0 days 11 hours 54 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-LPU2 ( 172.22.1.124 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 0 seconds 
BSCL-GNCS-SVD-LPU2 ( 172.22.1.154 ),Ping,98.72,30 days 14 hours 28 minutes 36 seconds ,1.28,,0 days 9 hours 31 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-LPU2 ( 172.22.1.106 ),Ping,99.37,30 days 19 hours 18 minutes 45 seconds ,0.63,,0 days 4 hours 41 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR-LPU1 ( 172.22.1.151 ),Ping,99.72,30 days 21 hours 55 minutes 0 seconds ,0.28,,0 days 2 hours 5 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-LPU2 ( 172.22.1.134 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,7.23,,2 days 5 hours 47 minutes 11 seconds ,92.77,28 days 18 hours 8 minutes 51 seconds 
BSCL-MMC-RLVD-LPU1 ( 172.22.1.113 ),Ping,99.71,30 days 21 hours 43 minutes 9 seconds ,0.29,,0 days 2 hours 9 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-LPU2 ( 172.22.1.142 ),Ping,98.24,30 days 10 hours 54 minutes 19 seconds ,1.76,,0 days 13 hours 5 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-LPU1 ( 172.22.1.103 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MDC-RLVD-LPU2 ( 172.22.1.118 ),Ping,98.49,30 days 12 hours 38 minutes 38 seconds ,1.51,,0 days 11 hours 13 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-LPU1 ( 172.22.1.143 ),Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-LPU1 ( 172.22.1.125 ),Ping,99.93,30 days 23 hours 28 minutes 44 seconds ,0.07,,0 days 0 hours 31 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-LPU1 ( 172.22.1.145 ),Ping,98.13,30 days 10 hours 0 minutes 22 seconds ,1.87,,0 days 13 hours 54 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-LPU2 ( 172.22.1.116 ),Ping,70.47,21 days 20 hours 17 minutes 48 seconds ,29.53,,9 days 3 hours 42 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-LPU1 ( 172.22.1.121 ),Ping,93.36,28 days 22 hours 35 minutes 53 seconds ,6.64,,2 days 1 hours 24 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR-LPU1 ( 172.22.1.139 ),Ping,98.33,30 days 11 hours 34 minutes 30 seconds ,1.67,,0 days 12 hours 25 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-LPU1 ( 172.22.1.105 ),Ping,99.41,30 days 19 hours 32 minutes 11 seconds ,0.59,,0 days 4 hours 23 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-LPU1 ( 172.22.1.170 ),Ping,100,30 days 23 hours 55 minutes 2 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-LPU1 ( 172.22.1.133 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,7.23,,2 days 5 hours 47 minutes 9 seconds ,92.77,28 days 18 hours 8 minutes 23 seconds 
BSCL-MM-ANPR-LPU4 ( 172.22.1.166 ),Ping,97.86,30 days 8 hours 0 minutes 20 seconds ,2.14,,0 days 15 hours 55 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-LPU3 ( 172.22.1.168 ),Ping,77.88,24 days 3 hours 22 minutes 17 seconds ,22.12,,6 days 20 hours 33 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-RLVD-LPU2 ( 172.22.1.138 ),Ping,4.99,1 days 13 hours 7 minutes 32 seconds ,95.01,,29 days 10 hours 52 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR-LPU2 ( 172.22.1.161 ),Ping,98.38,30 days 11 hours 56 minutes 49 seconds ,1.62,,0 days 12 hours 3 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR-LPU3 ( 172.22.1.167 ),Ping,98.36,30 days 11 hours 43 minutes 1 seconds ,1.64,,0 days 12 hours 12 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-LPU1 ( 172.22.1.117 ),Ping,98.45,30 days 12 hours 28 minutes 4 seconds ,1.55,,0 days 11 hours 31 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-LPU1 ( 172.22.1.163 ),Ping,94.42,29 days 6 hours 29 minutes 4 seconds ,5.58,,1 days 17 hours 30 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-LPU2 ( 172.22.1.110 ),Ping,99.4,30 days 19 hours 32 minutes 9 seconds ,0.6,,0 days 4 hours 27 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR-LPU2 ( 172.22.1.160 ),Ping,99.72,30 days 21 hours 55 minutes 0 seconds ,0.28,,0 days 2 hours 5 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-LPU1 ( 172.22.1.109 ),Ping,99.41,30 days 19 hours 31 minutes 41 seconds ,0.59,,0 days 4 hours 23 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-LPU1 ( 172.22.1.173 ),Ping,70.42,21 days 19 hours 50 minutes 9 seconds ,29.58,,9 days 4 hours 2 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-LPU2 ( 172.22.1.148 ),Ping,99.91,30 days 23 hours 19 minutes 49 seconds ,0.09,,0 days 0 hours 40 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-LPU1 ( 172.22.1.131 ),Ping,94.88,29 days 9 hours 54 minutes 25 seconds ,5.12,,1 days 14 hours 5 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-LPU2 ( 172.22.1.144 ),Ping,100,30 days 23 hours 55 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-LPU2 ( 172.22.1.112 ),Ping,99.69,30 days 21 hours 41 minutes 36 seconds ,0.31,,0 days 2 hours 18 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-LPU2 ( 172.22.1.114 ),Ping,99.69,30 days 21 hours 37 minutes 10 seconds ,0.31,,0 days 2 hours 18 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-LPU1 ( 172.22.1.135 ),Ping,99.09,30 days 17 hours 13 minutes 46 seconds ,0.91,,0 days 6 hours 46 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR-LPU2 ( 172.22.1.140 ),Ping,98.42,30 days 12 hours 10 minutes 18 seconds ,1.58,,0 days 11 hours 45 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-LPU1 ( 172.22.1.129 ),Ping,99.35,30 days 19 hours 9 minutes 50 seconds ,0.65,,0 days 4 hours 50 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-LPU2 ( 172.22.1.146 ),Ping,98.12,30 days 9 hours 56 minutes 23 seconds ,1.88,,0 days 13 hours 59 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-LPU2 ( 172.22.1.150 ),Ping,96.58,29 days 22 hours 33 minutes 18 seconds ,3.42,,1 days 1 hours 26 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-LPU2 ( 172.22.1.122 ),Ping,66.54,20 days 15 hours 0 minutes 9 seconds ,33.46,,10 days 8 hours 54 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
