Report Name : PAS,,,,,,,,
Name : PAS,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.84,,,
Maintenance (%),,,,,17.08,,,
Down (%),,,,,4.08,,,
Name : PAS,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-PA ( 172.21.0.19 ),Ping,98.2,30 days 10 hours 36 minutes 28 seconds ,1.8,,0 days 13 hours 23 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-PA ( 172.21.0.54 ),Ping,98.1,30 days 9 hours 47 minutes 28 seconds ,1.9,,0 days 14 hours 8 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-PA ( 172.21.0.14 ),Ping,97.25,30 days 3 hours 32 minutes 23 seconds ,2.75,,0 days 20 hours 27 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-PA ( 172.21.0.17 ),Ping,99.68,30 days 21 hours 32 minutes 12 seconds ,0.32,,0 days 2 hours 22 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-PA ( 172.21.0.57 ),Ping,99.44,30 days 19 hours 50 minutes 0 seconds ,0.56,,0 days 4 hours 9 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-PA ( 172.21.0.51 ),Ping,82.49,25 days 13 hours 39 minutes 51 seconds ,17.51,,5 days 10 hours 15 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-PA ( 172.21.0.24 ),Ping,98.25,30 days 10 hours 54 minutes 25 seconds ,1.75,,0 days 13 hours 1 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-PA ( 172.21.0.20 ),Ping,99.92,30 days 23 hours 19 minutes 20 seconds ,0.08,,0 days 0 hours 35 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-PA ( 172.21.0.23 ),Ping,4.8,1 days 11 hours 42 minutes 43 seconds ,2.46,,0 days 18 hours 18 minutes 9 seconds ,92.74,28 days 17 hours 59 minutes 7 seconds 
BSCL-DNC-PA ( 172.21.0.56 ),Ping,98.82,30 days 15 hours 13 minutes 14 seconds ,1.18,,0 days 8 hours 46 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-PA ( 172.21.0.53 ),Ping,99.34,30 days 19 hours 5 minutes 22 seconds ,0.66,,0 days 4 hours 54 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-PA ( 172.21.0.11 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-PA ( 172.21.0.12 ),Ping,99.69,30 days 21 hours 37 minutes 10 seconds ,0.31,,0 days 2 hours 18 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ST-PA ( 172.21.0.21 ),Ping,99.98,30 days 23 hours 46 minutes 7 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-PA ( 172.21.0.58 ),Ping,99.66,30 days 21 hours 23 minutes 17 seconds ,0.34,,0 days 2 hours 31 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-PA ( 172.21.0.59 ),Ping,100,30 days 23 hours 55 minutes 3 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ANC-PA ( 172.21.0.55 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 0 seconds 
BSCL-FRC-PA ( 172.21.0.22 ),Ping,94.71,29 days 8 hours 38 minutes 32 seconds ,5.29,,1 days 15 hours 21 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PA ( 172.21.0.26 ),Ping,70.43,21 days 19 hours 59 minutes 57 seconds ,29.57,,9 days 4 hours 0 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PA ( 172.21.0.52 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MDC-PA ( 172.21.0.15 ),Ping,98.05,30 days 9 hours 29 minutes 30 seconds ,1.95,,0 days 14 hours 30 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PA ( 172.21.0.16 ),Ping,94.74,29 days 8 hours 51 minutes 55 seconds ,5.26,,1 days 15 hours 8 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-PA ( 172.21.0.18 ),Ping,79.89,24 days 18 hours 22 minutes 53 seconds ,20.11,,6 days 5 hours 37 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
