Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,99.7,30 days 21 hours 41 minutes 8 seconds ,0.3,,0 days 2 hours 13 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,57.22,17 days 17 hours 43 minutes 0 seconds ,42.78,,13 days 6 hours 16 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.99,30 days 23 hours 51 minutes 4 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,94.76,29 days 9 hours 0 minutes 51 seconds ,5.24,,1 days 14 hours 59 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 0 seconds 
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,85.9,26 days 15 hours 5 minutes 45 seconds ,14.1,,4 days 8 hours 54 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,98.13,30 days 9 hours 57 minutes 57 seconds ,1.87,,0 days 13 hours 54 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 0 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,99.37,30 days 19 hours 18 minutes 45 seconds ,0.63,,0 days 4 hours 41 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,98.23,30 days 10 hours 42 minutes 35 seconds ,1.77,,0 days 13 hours 10 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC3 ( 172.22.2.115 ),Ping,98.84,30 days 15 hours 22 minutes 10 seconds ,1.16,,0 days 8 hours 37 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-EC2 ( 172.22.2.159 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,7.23,,2 days 5 hours 47 minutes 13 seconds ,92.77,28 days 18 hours 9 minutes 19 seconds 
BSCL-GC-RLVD-EC2 ( 172.22.2.118 ),Ping,99.47,30 days 20 hours 3 minutes 24 seconds ,0.53,,0 days 3 hours 56 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC3 ( 172.22.2.188 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 30 seconds 
BSCL-MDC-RLVD-EC3 ( 172.22.2.133 ),Ping,87.76,27 days 4 hours 49 minutes 25 seconds ,12.24,,3 days 19 hours 3 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC1 ( 172.22.2.147 ),Ping,94.72,29 days 8 hours 38 minutes 47 seconds ,5.28,,1 days 15 hours 16 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC2 ( 172.22.2.152 ),Ping,99.35,30 days 19 hours 5 minutes 24 seconds ,0.65,,0 days 4 hours 50 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-EC3 ( 172.22.2.129 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,30 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-EC3 ( 172.22.2.111 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-NC-RLVD-EC2 ( 172.22.2.140 ),Ping,99.57,30 days 20 hours 48 minutes 2 seconds ,0.43,,0 days 3 hours 11 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC2 ( 172.22.2.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MPC-RLVD-EC4 ( 172.22.2.130 ),Ping,42.77,13 days 6 hours 10 minutes 24 seconds ,57.23,,17 days 17 hours 44 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-EC3 ( 172.22.2.141 ),Ping,95.94,29 days 17 hours 47 minutes 36 seconds ,4.06,,1 days 6 hours 12 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC1 ( 172.22.2.135 ),Ping,94.76,29 days 9 hours 0 minutes 51 seconds ,5.24,,1 days 14 hours 59 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC1 ( 172.22.2.105 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-TBC-RLVD-EC1 ( 172.22.2.171 ),Ping,100,30 days 23 hours 55 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC2 ( 172.22.2.187 ),Ping,79.22,24 days 13 hours 20 minutes 0 seconds ,20.78,,6 days 10 hours 35 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-EC4 ( 172.22.2.123 ),Ping,94.82,29 days 9 hours 22 minutes 56 seconds ,5.18,,1 days 14 hours 32 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC1 ( 172.22.2.175 ),Ping,97.05,30 days 2 hours 3 minutes 6 seconds ,2.95,,0 days 21 hours 56 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC3 ( 172.22.2.157 ),Ping,93.35,28 days 22 hours 31 minutes 26 seconds ,6.65,,2 days 1 hours 28 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC2 ( 172.22.2.156 ),Ping,86.71,26 days 21 hours 7 minutes 20 seconds ,13.29,,4 days 2 hours 52 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
