Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,98.75,30 days 14 hours 41 minutes 59 seconds ,1.25,,0 days 9 hours 18 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,99.9,30 days 23 hours 15 minutes 21 seconds ,0.1,,0 days 0 hours 44 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,99.88,30 days 23 hours 6 minutes 25 seconds ,0.12,,0 days 0 hours 53 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,98.77,30 days 14 hours 46 minutes 31 seconds ,1.23,,0 days 9 hours 9 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,99.1,30 days 17 hours 13 minutes 19 seconds ,0.9,,0 days 6 hours 41 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,99.1,30 days 17 hours 13 minutes 19 seconds ,0.9,,0 days 6 hours 41 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.25,,,
Down (%),,,,,0.75,,,
