Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,100,30 days 23 hours 59 minutes 59 seconds ,,0,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,100,30 days 23 hours 55 minutes 2 seconds ,,0,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,69.33,21 days 11 hours 48 minutes 54 seconds ,,30.67,9 days 12 hours 11 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,24.62,7 days 15 hours 9 minutes 11 seconds ,,75.38,23 days 8 hours 46 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,0,0 days 0 hours 0 minutes 0 seconds,,0,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 0 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,99.79,30 days 22 hours 26 minutes 15 seconds ,,0.21,0 days 1 hours 33 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.63,30 days 21 hours 14 minutes 49 seconds ,,0.37,0 days 2 hours 45 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,70.45,,,,
Maintenance (%),,,,,14.27,,,,
Down (%),,,,,15.28,,,,
