Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,75.4,,,
Maintenance (%),,,,,16.42,,,
Down (%),,,,,8.18,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,97.83,30 days 7 hours 46 minutes 37 seconds ,2.17,,0 days 16 hours 8 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,94.41,29 days 6 hours 17 minutes 23 seconds ,5.59,,1 days 17 hours 34 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,92.1,28 days 13 hours 9 minutes 1 seconds ,7.9,,2 days 10 hours 46 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,97.78,30 days 7 hours 21 minutes 30 seconds ,2.22,,0 days 16 hours 30 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,84.57,26 days 5 hours 7 minutes 59 seconds ,15.42,,4 days 18 hours 42 minutes 45 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,94.69,29 days 8 hours 25 minutes 4 seconds ,5.31,,1 days 15 hours 30 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,96.03,29 days 18 hours 27 minutes 47 seconds ,3.96,,1 days 5 hours 27 minutes 45 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,90.23,27 days 23 hours 11 minutes 45 seconds ,9.77,,3 days 0 hours 40 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,95.32,29 days 13 hours 3 minutes 32 seconds ,4.68,,1 days 10 hours 48 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,95.42,29 days 13 hours 50 minutes 55 seconds ,4.58,,1 days 10 hours 4 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,58.94,18 days 6 hours 30 minutes 48 seconds ,41.06,,12 days 17 hours 29 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,95.5,29 days 14 hours 31 minutes 11 seconds ,4.5,,1 days 9 hours 28 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 14 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,99.66,30 days 21 hours 23 minutes 27 seconds ,0.34,,0 days 2 hours 31 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,94.39,29 days 6 hours 8 minutes 27 seconds ,5.61,,1 days 17 hours 43 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,99.29,30 days 18 hours 38 minutes 18 seconds ,0.71,,0 days 5 hours 16 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,94.44,29 days 6 hours 38 minutes 0 seconds ,5.56,,1 days 17 hours 21 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,98.97,30 days 16 hours 20 minutes 12 seconds ,1.03,,0 days 7 hours 39 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,70.42,21 days 19 hours 52 minutes 45 seconds ,29.57,,9 days 3 hours 58 minutes 54 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,97.63,30 days 6 hours 18 minutes 58 seconds ,2.35,,0 days 17 hours 28 minutes 58 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,94.47,29 days 6 hours 48 minutes 27 seconds ,5.51,,1 days 16 hours 59 minutes 29 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,44.24,13 days 17 hours 6 minutes 37 seconds ,55.76,,17 days 6 hours 48 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR3 ( 172.22.0.169 ),Ping,94.47,29 days 6 hours 51 minutes 24 seconds ,5.53,,1 days 17 hours 8 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR3 ( 172.22.0.227 ),Ping,96.88,30 days 0 hours 47 minutes 13 seconds ,3.12,,0 days 23 hours 12 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR6 ( 172.22.0.178 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-HC-RLVD-ANPR1 ( 172.22.0.58 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-GNC-RLVD-ANPR1 ( 172.22.0.89 ),Ping,99.29,30 days 18 hours 35 minutes 27 seconds ,0.71,,0 days 5 hours 16 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR2 ( 172.22.0.232 ),Ping,95.12,29 days 11 hours 34 minutes 17 seconds ,4.88,,1 days 12 hours 18 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR1 ( 172.22.0.213 ),Ping,97.7,30 days 6 hours 46 minutes 46 seconds ,2.28,,0 days 16 hours 57 minutes 38 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-ASC-RLVD-ANPR2 ( 172.22.0.51 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-CMD-RLVD-ANPR5 ( 172.22.0.71 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 14 seconds 
BSCL-OBS-RLVD-ANPR3 ( 172.22.0.137 ),Ping,59.58,18 days 11 hours 13 minutes 39 seconds ,40.42,,12 days 12 hours 41 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR2 ( 172.22.0.168 ),Ping,94.44,29 days 6 hours 38 minutes 0 seconds ,5.56,,1 days 17 hours 21 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-ANPR3 ( 172.22.0.153 ),Ping,94.96,29 days 10 hours 22 minutes 52 seconds ,5.04,,1 days 13 hours 29 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR7 ( 172.22.0.109 ),Ping,44.24,13 days 17 hours 6 minutes 37 seconds ,55.76,,17 days 6 hours 48 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR3 ( 172.22.0.175 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 52 minutes 19 seconds 
BSCL-TBC-RLVD-ANPR6 ( 172.22.0.212 ),Ping,100,30 days 23 hours 55 minutes 12 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR2 ( 172.22.0.120 ),Ping,92.79,28 days 18 hours 17 minutes 0 seconds ,7.21,,2 days 5 hours 38 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR5 ( 172.22.0.241 ),Ping,96.16,29 days 19 hours 21 minutes 13 seconds ,3.84,,1 days 4 hours 34 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-ANPR5 ( 172.22.0.155 ),Ping,94.85,29 days 9 hours 41 minutes 2 seconds ,5.15,,1 days 14 hours 18 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR2 ( 172.22.0.226 ),Ping,96.83,30 days 0 hours 24 minutes 54 seconds ,3.17,,0 days 23 hours 35 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-RLVD-ANPR2 ( 172.22.0.184 ),Ping,64.38,19 days 22 hours 54 minutes 18 seconds ,35.62,,11 days 0 hours 58 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR7 ( 172.22.0.117 ),Ping,95.11,29 days 11 hours 34 minutes 8 seconds ,4.87,,1 days 12 hours 13 minutes 49 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-AC-ANPR1 ( 172.22.0.231 ),Ping,95.75,29 days 16 hours 15 minutes 28 seconds ,4.25,,1 days 7 hours 36 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR3 ( 172.22.0.199 ),Ping,97.36,30 days 4 hours 14 minutes 41 seconds ,2.63,,0 days 19 hours 33 minutes 51 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-TWC-RLVD-ANPR5 ( 172.22.0.163 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-RGC-RLVD-ANPR4 ( 172.22.0.200 ),Ping,97.39,30 days 4 hours 26 minutes 27 seconds ,2.6,,0 days 19 hours 20 minutes 25 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-MDC-RLVD-ANPR2 ( 172.22.0.112 ),Ping,83.52,25 days 21 hours 23 minutes 19 seconds ,16.47,,5 days 2 hours 32 minutes 12 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-MM-ANPR5 ( 172.22.0.193 ),Ping,94.65,29 days 8 hours 4 minutes 30 seconds ,5.35,,1 days 15 hours 47 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR3 ( 172.22.0.85 ),Ping,98.88,30 days 15 hours 35 minutes 17 seconds ,1.12,,0 days 8 hours 19 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-ANPR8 ( 172.22.0.96 ),Ping,99.25,30 days 18 hours 17 minutes 36 seconds ,0.75,,0 days 5 hours 34 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR8 ( 172.22.0.150 ),Ping,98.95,30 days 16 hours 11 minutes 16 seconds ,1.05,,0 days 7 hours 48 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-ANPR6 ( 172.22.0.156 ),Ping,94.96,29 days 10 hours 22 minutes 52 seconds ,5.04,,1 days 13 hours 29 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR7 ( 172.22.0.219 ),Ping,97.71,30 days 6 hours 51 minutes 14 seconds ,2.28,,0 days 16 hours 57 minutes 38 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-SC-RLVD-ANPR3 ( 172.22.0.145 ),Ping,98.53,30 days 12 hours 56 minutes 14 seconds ,1.47,,0 days 10 hours 56 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
