Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,69.02,21 days 9 hours 27 minutes 13 seconds ,30.98,,9 days 14 hours 27 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,94.43,29 days 6 hours 29 minutes 1 seconds ,5.57,,1 days 17 hours 26 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,59.63,18 days 11 hours 38 minutes 49 seconds ,40.37,,12 days 12 hours 21 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 14 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 52 minutes 19 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,98.89,30 days 15 hours 44 minutes 29 seconds ,1.11,,0 days 8 hours 15 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,98.9,30 days 15 hours 44 minutes 13 seconds ,1.1,,0 days 8 hours 10 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,99.8,30 days 22 hours 30 minutes 42 seconds ,0.2,,0 days 1 hours 29 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,97.91,30 days 8 hours 20 minutes 30 seconds ,2.07,,0 days 15 hours 23 minutes 55 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,97.63,30 days 6 hours 18 minutes 58 seconds ,2.36,,0 days 17 hours 33 minutes 26 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,97.72,30 days 7 hours 2 minutes 12 seconds ,2.27,,0 days 16 hours 53 minutes 20 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,96.89,30 days 0 hours 47 minutes 3 seconds ,3.11,,0 days 23 hours 8 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,97.78,30 days 7 hours 21 minutes 59 seconds ,2.2,,0 days 16 hours 21 minutes 55 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,97.73,30 days 6 hours 58 minutes 41 seconds ,2.25,,0 days 16 hours 44 minutes 13 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,99.9,30 days 23 hours 15 minutes 21 seconds ,0.1,,0 days 0 hours 44 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,76.94,23 days 20 hours 20 minutes 7 seconds ,23.06,,7 days 3 hours 32 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,94.9,29 days 9 hours 58 minutes 48 seconds ,5.1,,1 days 13 hours 56 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,99,30 days 16 hours 26 minutes 1 seconds ,1,,0 days 7 hours 26 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,98.49,30 days 12 hours 45 minutes 55 seconds ,1.51,,0 days 11 hours 14 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,99.28,30 days 18 hours 33 minutes 50 seconds ,0.72,,0 days 5 hours 21 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC3 ( 172.19.1.147 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-SC-ATCS-VDC4 ( 172.19.1.153 ),Ping,98.94,30 days 16 hours 6 minutes 48 seconds ,1.06,,0 days 7 hours 53 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-VDC2 ( 172.19.1.127 ),Ping,99.29,30 days 18 hours 43 minutes 3 seconds ,0.71,,0 days 5 hours 16 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC2 ( 172.19.1.185 ),Ping,96.9,30 days 0 hours 48 minutes 44 seconds ,3.1,,0 days 23 hours 3 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC4 ( 172.19.1.168 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 52 minutes 19 seconds 
BSCL-HC-ATCS-VDC3 ( 172.19.1.108 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MDC-ATCS-VDC3 ( 172.19.1.135 ),Ping,97.6,30 days 6 hours 3 minutes 57 seconds ,2.39,,0 days 17 hours 46 minutes 47 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
BSCL-MC-ATCS-VDC1 ( 172.19.1.137 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,30 days 23 hours 52 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
