Report Name : LPU,,,,,,,,
Name : LPU,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,79.96,,,
Maintenance (%),,,,,13.85,,,
Down (%),,,,,6.19,,,
Name : LPU,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-RLVD-LPU1 ( 172.22.1.141 ),Ping,97.64,30 days 6 hours 22 minutes 57 seconds ,2.34,,0 days 17 hours 24 minutes 29 seconds ,0.02,0 days 0 hours 8 minutes 56 seconds 
BSCL-MMT-RLVD-LPU1 ( 172.22.1.137 ),Ping,64.42,19 days 23 hours 12 minutes 8 seconds ,35.58,,11 days 0 hours 40 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR-LPU1 ( 172.22.1.152 ),Ping,96.11,29 days 19 hours 3 minutes 29 seconds ,3.89,,1 days 4 hours 56 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-LPU2 ( 172.22.1.124 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-GNCS-SVD-LPU2 ( 172.22.1.154 ),Ping,99.65,30 days 21 hours 16 minutes 7 seconds ,0.35,,0 days 2 hours 36 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-LPU2 ( 172.22.1.106 ),Ping,94.47,29 days 6 hours 46 minutes 53 seconds ,5.53,,1 days 17 hours 8 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR-LPU1 ( 172.22.1.151 ),Ping,92.29,28 days 14 hours 31 minutes 11 seconds ,7.71,,2 days 9 hours 21 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-LPU2 ( 172.22.1.134 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 14 seconds 
BSCL-MMC-RLVD-LPU1 ( 172.22.1.113 ),Ping,99.29,30 days 18 hours 43 minutes 3 seconds ,0.71,,0 days 5 hours 16 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-LPU2 ( 172.22.1.142 ),Ping,97.72,30 days 6 hours 57 minutes 56 seconds ,2.27,,0 days 16 hours 53 minutes 14 seconds ,0.01,0 days 0 hours 4 minutes 28 seconds 
