Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,90.25,27 days 23 hours 23 minutes 16 seconds ,,9.75,3 days 0 hours 31 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,90.24,27 days 23 hours 23 minutes 7 seconds ,,9.76,3 days 0 hours 36 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,59.94,18 days 13 hours 54 minutes 20 seconds ,,40.06,12 days 10 hours 0 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,84.01,26 days 1 hours 2 minutes 3 seconds ,,15.99,4 days 22 hours 57 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,0,0 days 0 hours 0 minutes 0 seconds,,0,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,98.75,30 days 14 hours 34 minutes 26 seconds ,,1.25,0 days 9 hours 17 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.68,30 days 21 hours 29 minutes 31 seconds ,,0.32,0 days 2 hours 22 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Jul  2024 12:00:00 AM To 14 Aug  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,74.7,,,,
Maintenance (%),,,,,14.28,,,,
Down (%),,,,,11.02,,,,
