Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,74.54,,,
Maintenance (%),,,,,16.14,,,
Down (%),,,,,9.32,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,98.52,29 days 13 hours 12 minutes 2 seconds ,1.48,,0 days 10 hours 39 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,99.17,29 days 17 hours 57 minutes 54 seconds ,0.83,,0 days 5 hours 58 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,68.19,20 days 10 hours 51 minutes 40 seconds ,31.81,,9 days 12 hours 58 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,36.87,11 days 1 hours 26 minutes 43 seconds ,24.32,,7 days 7 hours 5 minutes 30 seconds ,38.81,11 days 15 hours 24 minutes 44 seconds 
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.04,29 days 17 hours 1 minutes 47 seconds ,0.96,,0 days 6 hours 54 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,97.5,29 days 5 hours 51 minutes 0 seconds ,2.5,,0 days 17 hours 59 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,98.7,29 days 14 hours 35 minutes 24 seconds ,1.3,,0 days 9 hours 21 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,38.74,11 days 14 hours 54 minutes 30 seconds ,22.45,,6 days 17 hours 37 minutes 43 seconds ,38.81,11 days 15 hours 24 minutes 44 seconds 
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,96.7,29 days 0 hours 7 minutes 4 seconds ,3.3,,0 days 23 hours 45 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,99.87,29 days 22 hours 54 minutes 37 seconds ,0.13,,0 days 0 hours 56 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,95.91,28 days 18 hours 29 minutes 44 seconds ,4.09,,1 days 5 hours 26 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 26 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,96.61,28 days 23 hours 32 minutes 35 seconds ,3.39,,1 days 0 hours 24 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,38.21,11 days 11 hours 5 minutes 10 seconds ,22.97,,6 days 21 hours 22 minutes 6 seconds ,38.82,11 days 15 hours 28 minutes 40 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,99.66,29 days 21 hours 23 minutes 55 seconds ,0.34,,0 days 2 hours 26 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,99.32,29 days 19 hours 2 minutes 43 seconds ,0.68,,0 days 4 hours 53 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,99.43,29 days 19 hours 45 minutes 5 seconds ,0.57,,0 days 4 hours 6 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,98.72,29 days 14 hours 44 minutes 3 seconds ,1.28,,0 days 9 hours 12 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,99.18,29 days 18 hours 2 minutes 45 seconds ,0.82,,0 days 5 hours 54 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,95.28,28 days 13 hours 54 minutes 23 seconds ,4.72,,1 days 9 hours 58 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,99.03,29 days 17 hours 0 minutes 57 seconds ,0.97,,0 days 6 hours 59 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,95.58,28 days 16 hours 2 minutes 13 seconds ,4.42,,1 days 7 hours 49 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR3 ( 172.22.0.169 ),Ping,96.05,28 days 19 hours 30 minutes 13 seconds ,3.95,,1 days 4 hours 26 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR3 ( 172.22.0.227 ),Ping,60.77,18 days 5 hours 29 minutes 41 seconds ,39.23,,11 days 18 hours 25 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR6 ( 172.22.0.178 ),Ping,38.23,11 days 11 hours 12 minutes 31 seconds ,22.96,,6 days 21 hours 17 minutes 1 seconds ,38.81,11 days 15 hours 23 minutes 2 seconds 
BSCL-HC-RLVD-ANPR1 ( 172.22.0.58 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 26 seconds 
BSCL-GNC-RLVD-ANPR1 ( 172.22.0.89 ),Ping,99.58,29 days 20 hours 55 minutes 31 seconds ,0.42,,0 days 3 hours 1 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR2 ( 172.22.0.232 ),Ping,99.86,29 days 22 hours 56 minutes 29 seconds ,0.14,,0 days 1 hours 0 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR1 ( 172.22.0.213 ),Ping,20.07,6 days 0 hours 28 minutes 21 seconds ,79.93,,23 days 23 hours 22 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-ANPR2 ( 172.22.0.51 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 56 seconds 
