Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,94.27,28 days 6 hours 35 minutes 56 seconds ,5.73,,1 days 17 hours 14 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,97.2,29 days 3 hours 42 minutes 52 seconds ,2.8,,0 days 20 hours 9 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 56 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,96.36,28 days 21 hours 47 minutes 30 seconds ,3.64,,1 days 2 hours 12 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 46 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,19.31,5 days 19 hours 1 minutes 55 seconds ,41.9,,12 days 13 hours 40 minutes 48 seconds ,38.79,11 days 15 hours 17 minutes 16 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 59 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,38.23,11 days 11 hours 14 minutes 11 seconds ,22.95,,6 days 21 hours 13 minutes 42 seconds ,38.82,11 days 15 hours 29 minutes 3 seconds 
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,38.22,11 days 11 hours 7 minutes 41 seconds ,22.96,,6 days 21 hours 16 minutes 42 seconds ,38.82,11 days 15 hours 26 minutes 50 seconds 
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,99.62,29 days 21 hours 12 minutes 19 seconds ,0.38,,0 days 2 hours 44 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,99.03,29 days 16 hours 56 minutes 57 seconds ,0.97,,0 days 6 hours 59 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,98.99,29 days 16 hours 43 minutes 40 seconds ,1.01,,0 days 7 hours 16 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,98.75,29 days 14 hours 59 minutes 59 seconds ,1.25,,0 days 9 hours 0 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,60.77,18 days 5 hours 27 minutes 8 seconds ,39.23,,11 days 18 hours 23 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,98.72,29 days 14 hours 39 minutes 5 seconds ,1.28,,0 days 9 hours 12 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,98.77,29 days 15 hours 5 minutes 38 seconds ,1.23,,0 days 8 hours 51 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,91.76,27 days 12 hours 37 minutes 32 seconds ,8.24,,2 days 11 hours 19 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,97.81,29 days 8 hours 10 minutes 26 seconds ,2.19,,0 days 15 hours 46 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,97.34,29 days 4 hours 41 minutes 54 seconds ,2.66,,0 days 19 hours 8 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,99.58,29 days 20 hours 55 minutes 31 seconds ,0.42,,0 days 3 hours 1 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,98.66,29 days 14 hours 21 minutes 6 seconds ,1.34,,0 days 9 hours 38 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 26 seconds 
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,99.55,29 days 20 hours 36 minutes 25 seconds ,0.45,,0 days 3 hours 14 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
