Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,74.23,,,
Maintenance (%),,,,,20.96,,,
Down (%),,,,,4.81,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,96.8,29 days 0 hours 57 minutes 35 seconds ,3.2,,0 days 23 hours 2 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,97.54,29 days 6 hours 17 minutes 16 seconds ,2.46,,0 days 17 hours 42 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,98.75,29 days 14 hours 59 minutes 59 seconds ,1.25,,0 days 9 hours 0 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.35,29 days 19 hours 19 minutes 11 seconds ,0.65,,0 days 4 hours 40 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,99.36,29 days 19 hours 23 minutes 30 seconds ,0.64,,0 days 4 hours 36 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,93.85,28 days 3 hours 43 minutes 11 seconds ,6.15,,1 days 20 hours 16 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,99.6,29 days 21 hours 7 minutes 11 seconds ,0.4,,0 days 2 hours 52 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX5 ( 172.18.1.168 ),SNMP Device,68.22,20 days 11 hours 11 minutes 2 seconds ,31.78,,9 days 12 hours 48 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CO-FIX2 ( 172.18.1.234 ),SNMP Device,94.89,28 days 11 hours 12 minutes 28 seconds ,5.11,,1 days 12 hours 47 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PTZ1 ( 172.18.0.101 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-CIMS-FIX3 ( 172.18.1.223 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-FIX2 ( 172.18.1.146 ),SNMP Device,99.45,29 days 20 hours 2 minutes 23 seconds ,0.55,,0 days 3 hours 57 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX4 ( 172.18.1.167 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-TBC-FIX4 ( 172.18.1.210 ),SNMP Device,99.8,29 days 22 hours 33 minutes 35 seconds ,0.2,,0 days 1 hours 26 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX1 ( 172.18.1.169 ),SNMP Device,99.19,29 days 18 hours 10 minutes 4 seconds ,0.81,,0 days 5 hours 49 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX4 ( 172.18.1.187 ),SNMP Device,38.21,11 days 11 hours 6 minutes 43 seconds ,22.97,,6 days 21 hours 23 minutes 2 seconds ,38.82,11 days 15 hours 30 minutes 14 seconds 
BSCL-CO-FIX3 ( 172.18.1.235 ),SNMP Device,94.89,28 days 11 hours 12 minutes 28 seconds ,5.11,,1 days 12 hours 47 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
