Report Name : LPU,,,,,,,,
Name : LPU,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.51,,,
Maintenance (%),,,,,13.75,,,
Down (%),,,,,7.73,,,
Name : LPU,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-RLVD-LPU1 ( 172.22.1.141 ),Ping,98.99,29 days 16 hours 43 minutes 40 seconds ,1.01,,0 days 7 hours 16 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-RLVD-LPU1 ( 172.22.1.137 ),Ping,99.27,29 days 18 hours 41 minutes 37 seconds ,0.73,,0 days 5 hours 15 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR-LPU1 ( 172.22.1.152 ),Ping,98.49,29 days 13 hours 4 minutes 42 seconds ,1.51,,0 days 10 hours 52 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-LPU2 ( 172.22.1.124 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-GNCS-SVD-LPU2 ( 172.22.1.154 ),Ping,99.37,29 days 19 hours 20 minutes 48 seconds ,0.63,,0 days 4 hours 32 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-LPU2 ( 172.22.1.106 ),Ping,99.37,29 days 19 hours 19 minutes 40 seconds ,0.63,,0 days 4 hours 32 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR-LPU1 ( 172.22.1.151 ),Ping,99.88,29 days 23 hours 4 minutes 37 seconds ,0.12,,0 days 0 hours 51 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-LPU2 ( 172.22.1.134 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,61.18,,18 days 8 hours 26 minutes 58 seconds ,38.82,11 days 15 hours 28 minutes 28 seconds 
BSCL-MMC-RLVD-LPU1 ( 172.22.1.113 ),Ping,99.45,29 days 19 hours 57 minutes 54 seconds ,0.55,,0 days 3 hours 57 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-LPU2 ( 172.22.1.142 ),Ping,98.99,29 days 16 hours 40 minutes 30 seconds ,1.01,,0 days 7 hours 16 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
