Report Name : PAS,,,,,,,,
Name : PAS,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,77.37,,,
Maintenance (%),,,,,16.42,,,
Down (%),,,,,6.21,,,
Name : PAS,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-PA ( 172.21.0.19 ),Ping,54.72,16 days 9 hours 55 minutes 27 seconds ,45.28,,13 days 13 hours 57 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-PA ( 172.21.0.54 ),Ping,98.7,29 days 14 hours 35 minutes 24 seconds ,1.3,,0 days 9 hours 21 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-PA ( 172.21.0.14 ),Ping,99.37,29 days 19 hours 23 minutes 9 seconds ,0.63,,0 days 4 hours 32 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-PA ( 172.21.0.17 ),Ping,99.66,29 days 21 hours 33 minutes 6 seconds ,0.34,,0 days 2 hours 26 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-PA ( 172.21.0.57 ),Ping,38.2,11 days 10 hours 59 minutes 29 seconds ,22.98,,6 days 21 hours 25 minutes 37 seconds ,38.82,11 days 15 hours 27 minutes 17 seconds 
BSCL-JMC-PA ( 172.21.0.51 ),Ping,99.55,29 days 20 hours 42 minutes 35 seconds ,0.45,,0 days 3 hours 14 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-PA ( 172.21.0.24 ),Ping,98.65,29 days 14 hours 16 minutes 47 seconds ,1.35,,0 days 9 hours 43 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-PA ( 172.21.0.20 ),Ping,99.19,29 days 18 hours 10 minutes 4 seconds ,0.81,,0 days 5 hours 49 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-PA ( 172.21.0.23 ),Ping,38.21,11 days 11 hours 5 minutes 10 seconds ,22.98,,6 days 21 hours 26 minutes 26 seconds ,38.81,11 days 15 hours 24 minutes 21 seconds 
BSCL-DNC-PA ( 172.21.0.56 ),Ping,98.96,29 days 16 hours 21 minutes 35 seconds ,1.04,,0 days 7 hours 29 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-PA ( 172.21.0.53 ),Ping,99.34,29 days 19 hours 7 minutes 22 seconds ,0.66,,0 days 4 hours 45 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-PA ( 172.21.0.11 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 19 seconds 
BSCL-MMC-PA ( 172.21.0.12 ),Ping,99.44,29 days 19 hours 55 minutes 4 seconds ,0.56,,0 days 4 hours 1 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ST-PA ( 172.21.0.21 ),Ping,98.85,29 days 15 hours 43 minutes 11 seconds ,1.15,,0 days 8 hours 16 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-PA ( 172.21.0.58 ),Ping,99.55,29 days 20 hours 42 minutes 5 seconds ,0.45,,0 days 3 hours 14 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-PA ( 172.21.0.59 ),Ping,99.99,29 days 23 hours 52 minutes 9 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ANC-PA ( 172.21.0.55 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-FRC-PA ( 172.21.0.22 ),Ping,97.27,29 days 4 hours 13 minutes 7 seconds ,2.73,,0 days 19 hours 39 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PA ( 172.21.0.26 ),Ping,95.99,28 days 19 hours 0 minutes 25 seconds ,4.01,,1 days 4 hours 52 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PA ( 172.21.0.52 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 46 seconds 
BSCL-MDC-PA ( 172.21.0.15 ),Ping,98.87,29 days 15 hours 48 minutes 19 seconds ,1.13,,0 days 8 hours 8 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PA ( 172.21.0.16 ),Ping,96.75,29 days 0 hours 27 minutes 33 seconds ,3.25,,0 days 23 hours 23 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-PA ( 172.21.0.18 ),Ping,68.25,20 days 11 hours 17 minutes 56 seconds ,31.75,,9 days 12 hours 33 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
