Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,99.32,29 days 18 hours 57 minutes 4 seconds ,0.68,,0 days 4 hours 53 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,99.43,29 days 19 hours 44 minutes 35 seconds ,0.57,,0 days 4 hours 6 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,99.48,29 days 20 hours 11 minutes 49 seconds ,0.52,,0 days 3 hours 44 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,99.36,29 days 19 hours 20 minutes 31 seconds ,0.64,,0 days 4 hours 36 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,97.41,29 days 5 hours 17 minutes 41 seconds ,2.59,,0 days 18 hours 38 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,97.64,29 days 6 hours 57 minutes 2 seconds ,2.36,,0 days 16 hours 59 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,98.77,,,
Down (%),,,,,1.23,,,
