Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,38.74,11 days 14 hours 52 minutes 29 seconds ,,22.44,6 days 17 hours 32 minutes 14 seconds ,38.82,11 days 15 hours 27 minutes 2 seconds 
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,38.74,11 days 14 hours 54 minutes 18 seconds ,,22.44,6 days 17 hours 33 minutes 17 seconds ,38.82,11 days 15 hours 28 minutes 51 seconds 
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,96.11,28 days 19 hours 50 minutes 39 seconds ,,3.89,1 days 4 hours 0 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,82.21,24 days 15 hours 51 minutes 49 seconds ,,17.79,5 days 8 hours 4 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,0,0 days 0 hours 0 minutes 0 seconds,,0,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 26 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,98.83,29 days 15 hours 31 minutes 2 seconds ,,1.17,0 days 8 hours 25 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.67,29 days 21 hours 29 minutes 54 seconds ,,0.33,0 days 2 hours 22 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Sep  2024 12:00:00 AM To 14 Oct  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,64.9,,,,
Maintenance (%),,,,,25.37,,,,
Down (%),,,,,9.72,,,,
